Data,Produto,Categoria,Quantidade,Preço,TOTAL_VENDAS
02/01/2023,COXINHA,SALGADO,3,9.0,27.0
20/01/2023,PASTEL,SALGADO,14,12.0,168.0
29/01/2023,ESFIRRA,SALGADO,5,15.0,75.0
30/01/2023,SACOLE,DOCE,5,20.0,100.0
01/02/2023,COXINHA,SALGADO,13,9.0,117.0
10/02/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/02/2023,BIS,DOCE,15,5.0,75.0
18/02/2023,RISOLE,SALGADO,4,10.0,40.0
28/02/2023,ESFIRRA,SALGADO,9,15.0,135.0
02/03/2023,COXINHA,SALGADO,13,9.0,117.0
20/03/2023,PASTEL,SALGADO,4,12.0,48.0
29/03/2023,ESFIRRA,SALGADO,5,15.0,75.0
30/03/2023,SACOLE,DOCE,5,20.0,100.0
10/04/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/04/2023,BIS,DOCE,15,5.0,75.0
18/04/2023,RISOLE,SALGADO,4,10.0,40.0
25/04/2023,ESFIRRA,SALGADO,15,15.0,225.0
26/04/2023,COXINHA,SALGADO,3,9.0,27.0
27/04/2023,PASTEL,SALGADO,14,12.0,168.0
01/05/2023,ESFIRRA,SALGADO,5,15.0,75.0
02/05/2023,SACOLE,DOCE,5,20.0,100.0
10/05/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/05/2023,BIS,DOCE,11,5.0,55.0
18/05/2023,RISOLE,SALGADO,4,10.0,40.0
25/05/2023,ESFIRRA,SALGADO,5,15.0,75.0
02/06/2023,COXINHA,SALGADO,3,9.0,27.0
20/06/2023,PASTEL,SALGADO,2,12.0,24.0
29/06/2023,ESFIRRA,SALGADO,5,15.0,75.0
30/06/2023,SACOLE,DOCE,5,20.0,100.0
01/07/2023,COXINHA,SALGADO,3,9.0,27.0
10/07/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/07/2023,BIS,DOCE,15,5.0,75.0
25/07/2023,ESFIRRA,SALGADO,5,15.0,75.0
02/08/2023,COXINHA,SALGADO,3,9.0,27.0
20/08/2023,PASTEL,SALGADO,4,12.0,48.0
29/08/2023,ESFIRRA,SALGADO,5,15.0,75.0
30/08/2023,SACOLE,DOCE,10,20.0,200.0
01/09/2023,COXINHA,SALGADO,3,9.0,27.0
10/09/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/09/2023,BIS,DOCE,15,5.0,75.0
18/09/2023,RISOLE,SALGADO,4,10.0,40.0
25/09/2023,ESFIRRA,SALGADO,5,15.0,75.0
02/10/2023,COXINHA,SALGADO,3,9.0,27.0
20/10/2023,PASTEL,SALGADO,4,12.0,48.0
29/10/2023,ESFIRRA,SALGADO,5,15.0,75.0
30/10/2023,SACOLE,DOCE,5,20.0,100.0
01/11/2023,COXINHA,SALGADO,3,9.0,27.0
10/11/2023,BRIGADEIRO,DOCE,10,2.0,20.0
16/11/2023,BIS,DOCE,18,5.0,90.0
18/11/2023,RISOLE,SALGADO,4,10.0,40.0
25/11/2023,ESFIRRA,SALGADO,5,15.0,75.0
02/12/2023,COXINHA,SALGADO,3,9.0,27.0
10/12/2023,PASTEL,SALGADO,9,12.0,108.0
12/12/2023,ESFIRRA,SALGADO,5,15.0,75.0
16/12/2023,COXINHA,SALGADO,3,9.0,27.0
18/12/2023,BRIGADEIRO,DOCE,5,2.0,10.0
22/12/2023,BIS,DOCE,15,5.0,75.0
24/12/2023,RISOLE,SALGADO,4,10.0,40.0
25/12/2023,ESFIRRA,SALGADO,5,15.0,75.0
